Ncpu,Nsim,Nchunk,Lpt,Tsim
128,2,1024,400000,41.9
128,2,4096,400000,37.51
128,2,16384,400000,37.42
128,2,32768,400000,40.76
128,2,65536,400000,38.45
128,2,130672,400000,37.67
128,2,261344,400000,37.96
128,2,256,500000,53.3
128,2,1024,500000,47.6
128,2,4096,500000,46.35
128,2,16384,500000,47.03
128,2,32768,500000,47.47
128,2,65536,500000,46.53
128,2,130672,500000,48.25
128,2,261344,500000,47.18
128,3,256,1000,23.86
128,3,1024,1000,22.45
128,3,4096,1000,22.66
128,3,16384,1000,22.66
128,3,32768,1000,22.2
128,3,65536,1000,132.8734094
128,3,130672,1000,7179.605333
128,3,261344,1000,8038.4
128,3,256,10000,22.37
128,3,1024,10000,22.56
128,3,4096,10000,22.04
128,3,16384,10000,22.26
128,3,32768,10000,22.31
128,3,65536,10000,22.11
128,3,130672,10000,21.32
128,3,261344,10000,19.83
128,3,256,100000,23.23
128,3,1024,100000,22.81
128,3,4096,100000,22.25
128,3,16384,100000,22.62
128,3,32768,100000,20.79
128,3,65536,100000,17.28
128,3,130672,100000,17.42
128,3,261344,100000,17.44
128,3,256,200000,25.64
128,3,1024,200000,23.04
128,3,4096,200000,22.89
128,3,16384,200000,21.13
128,3,32768,200000,17.63
128,3,65536,200000,17.66
128,3,130672,200000,17.66
128,3,261344,200000,17.64
128,3,256,300000,29.56
128,3,1024,300000,25.3
128,3,4096,300000,23.23
128,3,16384,300000,23.18
128,3,32768,300000,19.2
128,3,65536,300000,19.21
128,3,130672,300000,20.17
128,3,261344,300000,19.97
128,3,256,400000,33.96
128,3,1024,400000,27.77
128,3,4096,400000,25.59
128,3,16384,400000,25.33
128,3,32768,400000,25.1
128,3,65536,400000,24.63
128,3,130672,400000,24.99
